threshold	tp	fp	fn	tn	accuracy	precision	recall	f1	f0_5	predicted_matches
0.97	3148	35	271	78302	0.996257155438133	0.9890040841972981	0.9207370576191869	0.9536504089669796	0.9745526592780632	3183
0.98	3107	25	312	78312	0.9958779783746758	0.9920178799489144	0.908745247148289	0.9485574721416578	0.9741644196400577	3132
0.96	3170	44	249	78293	0.9964161651744214	0.9863098942128189	0.9271716876279614	0.9558269259761797	0.9738863287250384	3214
0.99	3051	15	368	78322	0.9953153285385782	0.9951076320939335	0.8923661889441357	0.940940632228219	0.9727093030670152	3066
0.95	3182	53	237	78284	0.9964528597289496	0.9836166924265842	0.9306814858145657	0.9564171926660655	0.9725533345559018	3235
0.94	3198	63	221	78274	0.9965262488380058	0.9806807727690893	0.935361216730038	0.9574850299401197	0.9712689060317077	3261
0.93	3206	72	213	78265	0.9965140173198297	0.9780353874313605	0.9377010821877741	0.9574436314767806	0.9696933034904118	3278
0.92	3212	77	207	78260	0.9965262488380058	0.9765886287625418	0.9394559812810763	0.9576624925462135	0.9689291101055807	3289
0.91	3215	88	204	78249	0.9964283966925975	0.9733575537390251	0.9403334308277274	0.9565605474561142	0.9665684564969033	3303
0.9	3220	96	199	78241	0.9963917021380694	0.971049457177322	0.9417958467388126	0.9561989606533036	0.9650542468380987	3316
0.89	3229	103	190	78234	0.9964161651744214	0.9690876350540216	0.9444281953787658	0.9565990223670567	0.9640532632710336	3332
0.88	3232	113	187	78224	0.9963305445471892	0.9662182361733931	0.9453056449254168	0.9556475458308694	0.9619620215489016	3345
0.87	3238	127	181	78210	0.9962326924017809	0.962258543833581	0.947060544018719	0.9545990566037735	0.9591800462112684	3365
0.86	3242	136	177	78201	0.9961715348109007	0.9597394908229722	0.948230476747587	0.9539502721789024	0.9574153918847086	3378
0.85	3247	147	172	78190	0.9960981457018445	0.9566882734236889	0.9496928926586721	0.9531777484221342	0.9552809649897029	3394
0.84	3250	152	169	78185	0.9960736826654925	0.9553203997648442	0.9505703422053232	0.9529394516933001	0.9543665942326892	3402
0.83	3253	164	166	78173	0.9959635990019081	0.9520046824700029	0.9514477917519742	0.951726155646577	0.9518932521800197	3417
